,Rating,Boxer,Country,Weight,Ceiling,Action,Promoter,Trainer,Sex
788,789,"Alamo, Yomar",PR,140,1.0,3.0,All Star Boxing,"Calderon, Ivan",Male
789,790,"Aleksejevs, Jevgenijs",LV,168,1.0,2.0,LNK,,Male
790,791,"Alexander, Vaughn ",US,168,1.0,2.0,,"Griffin, Montell",Male
791,792,"Alonso, Jonathan",ES,140,1.0,3.0,,"Sanchez, Oliver",Male
792,793,"Angulo, Alfredo",MX,168,1.0,3.0,PBC,"Sanchez, Abel",Male
793,794,"Arboleda, Jaime",PA,130,1.0,4.0,Sampson,"Caicedo, Herman",Male
794,795,"Arcon, Luis",VE,140,1.0,3.0,Murphys,"Bermudez, Hector",Male
795,796,"Arias, Luis",US,160,1.0,3.0,Mayweather,"Salas, Ismael",Male
796,797,"Arthur, Lyndon",GB,175,1.0,2.0,Queensberry,"Barrett, Pat",Male
797,798,"Auimatagi Jr, Mose",NZ,168,1.0,4.0,,"Arkel, Grant",Male
798,799,"Avelar, Isaac",MX,122,1.0,3.0,,"Johnson, Mark",Male
799,800,"Avila, Manuel",US,126,1.0,3.0,,"Mondello, Phil",Male
800,801,"Azeez, Dan ",GB,175,1.0,3.0,MTK Global,"O'Shaughnessy, Brian",Male
801,802,"Baez, Leonardo",MX,122,1.0,4.0,,"Diaz, Joel",Male
802,803,"Balderas, Jose",US,118,1.0,3.0,,"Balderas, David",Male
803,804,"Ballard, D'Mitrius",US,160,1.0,3.0,Golden Boy,"Ford, Calvin",Male
804,805,"Barrett, Zelfa",GB,130,1.0,4.0,Matchroom,"Barrett, Pat",Male
805,806,"Barroso, Ismael",VE,140,1.0,3.0,M&amp;R,"Fernandez, Osmiri",Male
806,807,"Barthelemy, Leduan",CU,126,1.0,2.0,PBC,,Male
807,808,"Bauza, John",US,140,1.0,3.0,Top Rank,"Rivas, Raul",Male
808,809,"Bazinyan, Erik ",CA,168,1.0,4.0,,"Ouellet, Luc",Male
809,810,"Beamon, Dewayne",US,115,1.0,3.0,,"Vargas, Joe",Male
810,811,"Bellotti, Reece",GB,126,1.0,3.0,Matchroom,"McDonnall, Jim",Male
811,812,"Bentley, Denzel",GB,160,1.0,4.0,Queensberry,"Ball, Ray",Male
812,813,"Boschiero, Devis",IT,130,1.0,2.0,OPI Since 82,"Freo, Gino",Male
813,814,"Bowen, Sam ",GB,130,1.0,3.0,Queensberry,,Male
814,815,"Bracero, Gabriel",PR,140,1.0,3.0,DiBella,"Cuellar, Orlando",Male
815,816,"Brunson, Tyrone ",US,154,1.0,3.0,Kings,"Jackson, Vaughn",Male
816,817,"Burton, Hosea",GB,175,1.0,2.0,MTK Global,"Gallagher, Joe",Male
817,818,"Butler, Steven",CA,160,1.0,3.0,,"Boisvert, Renald",Male
818,819,"Cacace, Anthony",GB,130,1.0,3.0,Queensberry,"Hawkins, Harry",Male
819,820,"Cano, Pablo Cesar",MX,140,1.0,3.0,,,Male
820,821,"Cardenas, Jose Maria",MX,115,1.0,3.0,,"Arana, Jose",Male
821,822,"Castillo, Lenin",DO,175,1.0,2.0,,"Bonilla, Jose",Male
822,823,"Charunphak, Thananchai",TH,115,1.0,3.0,,,Male
823,824,"Chavez Jr, Julio Cesar",MX,175,1.0,3.5,,,Male
824,825,"Chelli, Zak",GB,175,1.0,3.0,Queensberry,"Chelli, Zak",Male
825,826,"Clarke, Lennox",GB,168,1.0,3.0,BCB,"Johnson, Errol",Male
