,Rating,Boxer,Country,Weight,Ceiling,Action,Promoter,Trainer,Sex
1009,1010,"Ward, Joe",IE,175,1.0,3.0,DiBella,"Gamache, Joey",Male
1010,1011,"Ward, Steven",GB,200,1.0,3.0,MTK Global,"Moore, Jamie",Male
1011,1012,"Ware, DeAndre",US,168,1.0,2.0,,"Wright, Lamar",Male
1012,1013,"Welborn, Jason",GB,160,1.0,3.0,BCB,"Johnson, Errol",Male
1013,1014,"Worawut, Chainoi",TH,122,1.0,4.0,,,Male
1014,1015,"Yap, Mark John",PH,122,1.0,2.0,,,Male
1015,1016,"Zeuge, Tyron",DE,168,1.0,2.0,Agon,"Braehmer, Juergen",Male
1016,1017,"Juarez, Cesar",MX,126,1.0,3.0,Zapari,"Baltazar, Ricardo",Male
1017,1018,"Hawkins, Malik ",US,140,1.0,3.0,Mayweather,"Ford, Calvin",Male
1018,1019,"Price, Darwin ",US,140,1.0,3.0,PBC,"Navarro, Aaron",Male
1019,1020,"O'Quinn, Jarico",US,115,1.0,2.0,Salita,"Joquillard, Chad",Male
1020,1021,"Vasquez, Oscar",US,115,1.0,3.0,,"Vasquez, Santos",Male
1021,1022,"Sierra, Ulises",US,168,1.0,3.0,,"Vargas, Joe",Male
1022,1023,"Morales, Gregory",MX,122,1.0,3.0,,,Male
1023,1024,"Rolls, Steve",CA,160,1.0,3.0,DiBella,"Howatt, Tommy",Male
1024,1025,"Angulo, Roamer",CO,168,1.0,3.0,A&amp;T,"Diaz, Pedro",Male
1025,1026,"Collado, Alexei",CU,126,1.0,3.0,M&amp;R,"Ramos, Maury",Male
1026,1027,"Nicholson, Deon",US,200,1.0,3.0,Skyy,"Hill, Damarius",Male
1027,1028,"Bornea, Jade",PH,115,1.0,3.0,,"Mayol, Rodel",Male
1028,1029,"Delgadillo, Ernesto",US,115,1.0,3.0,,"Mack, Tony",Male
1029,1030,"Flores, Moises",MX,122,1.0,3.0,,,Male
1030,1031,"Ward, Martin Joseph",GB,130,1.0,3.0,Matchroom,"Sims, Tony",Male
1031,1032,"Ananyan, Petros",RU,140,1.0,4.0,DiBella,"Martinez, David",Male
1032,1033,"Tapia, Cesar Mateo",AU,168,1.0,3.0,MTK Global,,Male
1033,1034,"Lasisi, Aliu Bamidele",NG,115,1.0,3.0,,,Male
1034,1035,"Alejo, Juan",MX,108,1.0,3.0,,"Martinez, Carlos",Male
1035,1036,"Benjamin, Kaisee",GB,147,1.0,3.0,Hennessy,,Male
1036,1037,"Meli, Alfredo",GB,160,1.0,4.0,MTK Global,,Male
1037,1038,"Avagyan, Aram",AM,126,1.0,3.0,Salita,"Steward, SugarHill",Male
1038,1039,"Aguero, Dagoberto",DO,126,1.0,3.0,,"Cuellar, Orlando",Male
1039,1040,"Curiel, Adrian",MX,112,1.0,3.0,,,Male
1040,1041,"Uulu, Akzhol",KG,130,1.0,3.0,RCC,,Male
1041,1042,"Velez, Jayson",PR,130,1.0,4.0,Universal,"Lozada, Emilio",Male
1042,1043,"Solis, Liborio",VE,118,1.0,3.0,,"Chavez, Celso",Male
1043,1044,"Chuprakov, Evgeny",RU,130,1.0,2.0,RCC,,Male
1044,1045,"Soriano, Ivan",PH,108,1.0,3.0,,"Agrabio, Jhun",Male
1045,1046,"Sityatha, Lwandile",ZA,118,1.0,3.0,,,Male
1046,1047,"Caitom, Rey",PH,105,1.0,3.0,,"Lalwani, Arvind",Male
1047,1048,"Azarcon, Clyde",PH,105,1.0,3.0,,"Tepora, Christopher",Male
1048,1049,"Nyambayar, Tugstsogt",MN,130,1.0,3.0,PBC,"Pullman, John",Male
1049,1050,"Radchenko, Serhiy",UA,200,1.0,3.0,,,Male
1050,1051,"Hunter, Keith",US,140,1.0,3.0,,"Adams, Bones",Male
1051,1052,"Redkach, Ivan",UA,140,1.0,3.0,,"Mosley, Jack",Male
1052,1053,"Coria, Luis",US,126,1.0,5.0,,"Garcia, Robert",Male
1053,1054,"Sekhniashvili, Nika ",GE,160,1.0,3.0,,"Centeno, Javiel",Male
1054,1055,"Rodriguez, Robert",US,118,1.0,4.0,,"Garcia, Robert",Male
1055,1056,"Ornelas, Carlos",MX,126,1.0,3.0,Zanfer,,Male
1056,1057,"Palomares, Edwin",MX,126,1.0,4.0,,,Male
1057,1058,"Sanchez, Sergio",MX,126,1.0,4.0,Zanfer,,Male
1058,1059,"Sparrow, Avery",US,130,1.0,2.0,,"Jefferson, Rashiem",Male
1059,1060,"Flores, Hector",MX,112,1.0,4.0,,,Male
1060,1061,"Fredrickson, Sonny",US,140,1.0,3.0,,"Wright, Lamar",Male
1061,1062,"Cortes, Andres",US,130,1.0,3.0,,,Male
1062,1063,"Salinas, Alejandro",US,130,1.0,4.0,,"Rivas, Raul",Male
1063,1064,"Martinez, Javier ",US,160,1.0,3.0,Top Rank,"Garcia, Robert",Male
1064,1065,"Avalos, Chris",US,126,1.0,3.0,,"Avalos, Felipe",Male
1065,1066,"Valdez, Hector",US,122,1.0,3.0,Golden Boy,"Garcia, Robert",Male
1066,1067,"Mosley Jr, Shane ",US,160,1.0,3.0,Golden Boy,"Adams, Bones",Male
1067,1068,"Lynn, Louie",GB,126,1.0,4.0,,,Male
1068,1069,"Turner, Henry",GB,140,1.0,3.0,Queensberry,"Smith, Alan",Male
1069,1070,"Balski, Adam",PL,200,1.0,2.0,Knockout Promotions,,Male
1070,1071,"Bates, Marcus",US,122,1.0,3.0,Kings,"Hollis, Orlando",Male
1071,1072,"Carter, John",ES,130,1.0,4.0,MGZ,,Male
1072,1073,"Allen, Lennox",GY,168,1.0,2.5,,"Sosa, Aureliano",Male
1073,1074,"Donovan, Eric",IE,130,1.0,4.0,,"Egan, Kenny",Male
1074,1075,"Docherty, John",GB,168,1.0,3.0,,"Sims, Tony",Male
1075,1076,"Kerefov, Timur",RU,160,1.0,3.0,Salita,"Steward, SugarHill",Male
1076,1077,"Malikov, Pavel",RU,130,1.0,4.0,,,Male
1077,1078,"Mercado, Israel",US,130,1.0,3.0,,"Ramirez, Henry",Male
1078,1079,"Kopylenko, Vitalii",UA,160,1.0,3.0,,"Ibragimov, Timur",Male
1079,1080,"Juarez, Saul",MX,108,1.0,2.0,All Star Boxing,,Male
1080,1081,"Quinn, Fearghus",IE,160,1.0,3.0,MTK Global,,Male
1081,1082,"Wilson, Liam",AU,130,1.0,4.0,D&amp;L,"Harrington, Benny",Male
1082,1083,"Hardman, Issac",AU,160,1.0,4.0,D&amp;L,"Studley, Blair",Male
1083,1084,"Martinez, Lester",GT,168,1.0,3.0,,,Male
1084,1085,"Preciado, Belmar",CO,122,1.0,4.0,All Star Boxing,"Gomez, Samuel",Male
1085,1086,"Contreras, Dennis",MX,126,1.0,5.0,All Star Boxing,,Male
1086,1087,"Pauldo, Justin",US,140,1.0,3.0,,,Male
1087,1088,"Flores, Manuel",US,118,1.0,3.0,,"Diaz, Antonio",Male
1088,1089,"Goldston, Kasir",US,140,1.0,2.0,Top Rank,"Goldston, Tyshaun",Male
1089,1090,"Montano, Christian ",US,168,1.0,3.0,,"Koroma, Kay",Male
1090,1091,"Ruiz, Leo",MX,160,1.0,3.0,,"Garcia Jr, Robert",Male
1091,1092,"Caraballo, Felix",PR,126,1.0,3.0,,"Trabal, Jose",Male
1092,1093,"Sando, Maidel ",CU,168,1.0,3.0,,"Doolin, James",Male
1093,1094,"Encarnacion, Ranfis",DO,126,1.0,3.0,Sampson,,Male
1094,1095,"Bunn, Leon",DE,168,1.0,3.0,Wasserman,"Wegner, Ulli",Male
1095,1096,"Radovan, Denis",DE,160,1.0,2.0,Wasserman,,Male
1096,1097,"Micah, Duke",GH,118,1.0,4.0,,"Rozier, Andre",Male
1097,1098,"Khongsong, Apinun",TH,140,1.0,3.0,,,Male
1098,1099,"Williams, Kyle",GB,118,1.0,2.0,BCB,"Johnson, Errol",Male
1099,1100,"Brady Jr, Haven",US,126,1.0,3.0,Top Rank,"Jones, Otha",Male
1100,1101,"Udofia, Linus",GB,160,1.0,3.0,,"Stewart, Terry",Male
1101,1102,"Fiaz, Aqib",GB,130,1.0,1.0,Matchroom,"Moore, Jamie",Male
1102,1103,"Coria, Gonzalo",AR,160,1.0,2.0,,,Male
1103,1104,"Colon, Emanuel",PR,140,1.0,4.0,All Star Boxing,,Male
1104,1105,"Ashfaq, Qais",GB,122,1.0,2.0,,"Fernandez, Angel",Male
1105,1106,"Leach, Marc",GB,122,1.0,3.0,,"Travis, Nigel",Male
1106,1107,"Bellows, Lanell",US,168,1.0,3.0,,,Male
1107,1108,"Calleros, Moises",MX,112,1.0,2.0,,"Robolanches, Geronimo",Male
1108,1109,"Laggoune, Bilal",BE,200,1.0,3.0,,,Male
1109,1110,"Heraldez, Juan",US,140,1.0,3.0,Mayweather,"Pimpleton, Otis",Male
1110,1111,"Cruz, Kent",US,140,1.0,3.0,,"Shields, Ronnie",Male
1111,1112,"Heffron, Mark",GB,160,1.0,3.0,Queensberry,"Jennings, Michael",Male
1112,1113,"Baldor, Luciano Francisco ",AR,118,1.0,2.0,Argentina Boxing,,Male
1113,1114,"Zarate, Junior Leandro ",AR,112,1.0,3.0,Argentina Boxing,,Male
1114,1115,"Larfield, Vegas",AU,118,1.0,4.0,,"Hyder, Angelo",Male
1115,1116,"Roman, Mickey ",MX,130,1.0,3.0,Pueblo,"Hernandez, Rudy",Male
1116,1117,"Michel, Serge",DE,175,1.0,3.0,,"Michel, Eduard",Male
1117,1118,"Lukas, Sakaria",NA,126,1.0,3.0,,"Paulus, Immanuel",Male
1118,1119,"Peralta, Yamil",AR,200,1.0,2.0,Argentina Boxing,,Male
1119,1120,"de los Santos, Edwin",DO,130,1.0,3.0,Sampson,"Betancourt, Chelo",Male
1120,1121,"Salazar, Luis",DO,140,1.0,3.0,,,Male
1121,1122,"Castellon, Byron",NI,105,1.0,2.0,,,Male
1122,1123,"Abgaryan, Narek",AM,118,1.0,3.0,,"Roach, Freddie",Male
1123,1124,"Guy, Mike",US,168,1.0,1.0,,,Male
1124,1125,"Barrientes, Chavez",US,126,1.0,3.0,PBC,"Barrientes, Richard",Male
1125,1126,"Gutierrez, Giovanni",NI,122,1.0,4.0,,,Male
1126,1127,"Encarnacion, William",DO,126,1.0,3.0,Shuan,,Male
1127,1128,"Solano, Marvin",NI,115,1.0,3.0,,,Male
1128,1129,"Rivera, All",PH,140,1.0,3.0,,,Male
1129,1130,"Truax, Caleb",US,168,1.0,3.0,PBC,"Halstad, Tom",Male
1130,1131,"Agbeko, Sena",GH,168,1.0,2.0,,"Garcia, Kelvin",Male
1131,1132,"Gollaz, Gabriel ",MX,140,1.0,4.0,,"Parra, Joaquin Salas",Male
1132,1133,"Rosario, Omar",PR,140,1.0,4.0,Top Rank,"Santiago, Jose",Male
1133,1134,"Akavov, Artur",RU,160,1.0,3.0,,"Fortune, Justin",Male
1134,1135,"Pampellone, Jerome",NZ,175,1.0,3.0,,"Peach, Isaac",Male
1135,1136,"Martin, Ryan",US,140,1.0,2.0,,"McIntyre, Brian",Male
1136,1137,"Rodriguez, Abraham",MX,108,1.0,3.0,,"Sandoval, Edgar",Male
1137,1138,"Yildirim, Avni",TR,168,1.0,2.5,,,Male
1138,1139,"Zorrilla, Danielito",PR,140,1.0,3.0,Golden Boy,"Oyola, David",Male
1139,1140,"White, Jordan",US,130,1.0,4.0,,"White, John",Male
1140,1141,"Teah, Sam",US,140,1.0,3.0,,,Male
1141,1142,"Nunez, Leosdan",CU,118,1.0,3.0,,,Male
1142,1143,"Juarez, Salvador",MX,118,1.0,3.0,,,Male
1143,1144,"Valera, Felix",DO,175,1.0,4.0,Shuan,"Salas, Ismael",Male
1144,1145,"Perez, Bryan",DO,175,1.0,4.0,Reyes,,Male
1145,1146,"Perez, Aaron",US,126,1.0,3.0,,"Perez Sr, Aaron",Male
1146,1147,"Douglin, Denis",US,160,1.0,3.0,,"Douglin, Saphya",Male
1147,1148,"Guerfi, Karim",FR,118,1.0,3.0,,,Male
1148,1149,"Agrba, Khariton",RU,140,1.0,4.0,,,Male
1149,1150,"Abdugofurov, Azizbek ",UZ,168,1.0,3.0,,,Male
1150,1151,"Deines, Adam",DE,175,1.0,3.0,SES,,Male
1151,1152,"Ortiz, Abimael",PR,122,1.0,4.0,Fresh Productions,,Male
1152,1153,"Khasiev, Dmitrii",RU,130,1.0,3.0,RCC,,Male
1153,1154,"Sitemela, Lunga",ZA,130,1.0,3.0,,,Male
1154,1155,"Fortunato, Frency",DO,126,1.0,4.0,,,Male
1155,1156,"Valdez, Geraldo",DO,115,1.0,3.0,,,Male
1156,1157,"Segundo, Arturo",MX,115,1.0,4.0,,,Male
1157,1158,"Urrutia, Kevin",US,112,1.0,4.0,,"Martinez, Gil",Male
1158,1159,"Solis, Alan",MX,126,1.0,2.0,,"Lopez, Jose",Male
1159,1160,"Espinosa, Jimerr",MX,140,1.0,3.0,Miura,,Male
1160,1161,"Lopez, Jonathan",US,126,1.0,3.0,MTK Global,,Male
1161,1162,"Pearson, Christopher",US,168,1.0,2.0,,"Rangel, Arturo",Male
1162,1163,"Younan, Junior",US,168,1.0,3.0,,"Younan, Sherif",Male
1163,1164,"Resendiz, Jose Armando",MX,160,1.0,3.0,,"Salas, Ismael",Male
1164,1165,"Romero, Juan Pablo",MX,140,1.0,3.0,Pueblo,,Male
1165,1166,"Torres, Bernard Angelo",NO,126,1.0,3.0,MaravillaBox,"Sorum, Kjell",Male
1166,1167,"Gago, Andoni",ES,126,1.0,3.0,MGZ,"Del Valle, Txutxi ",Male
1167,1168,"McDonnell, Gavin",GB,126,1.0,2.0,,"Doyle, Ray",Male
1168,1169,"Gomez, Jaycob",PR,130,1.0,4.0,,,Male
1169,1170,"Martinez, Ramiro",US,122,1.0,3.0,,,Male
1170,1171,"Lopez, Juan Antonio ",US,122,1.0,3.0,,,Male
1171,1172,"Nicholson, Demond",US,168,1.0,3.0,,,Male
1172,1173,"Ascanio, Jorge",MX,118,1.0,4.0,,,Male
1173,1174,"Morrison, Marcus",GB,160,1.0,2.0,,"Gallagher, Joe",Male
1174,1175,"Yafai, Gamal ",GB,122,1.0,3.0,Matchroom,"McCracken, Spencer",Male
1175,1176,"Cunningham, Jason",GB,122,1.0,3.0,Queensberry,"Doyle, Ray",Male
1176,1177,"Carmona, David",MX,122,1.0,3.0,,,Male
1177,1178,"Jones, Amari",US,160,1.0,4.0,Devin Haney Promotions,,Male
1178,1179,"Coe, Khalil",US,175,1.0,4.0,Matchroom,"Christian, Kenneth",Male
1179,1180,"Santiago, Jovanie ",PR,140,1.0,3.0,Fresh Productions,"Torres, Jose",Male
1180,1181,"Dasmarinas, Michael",PH,118,1.0,3.0,MP,,Male
1181,1182,"Delgado, Lindolfo",MX,140,1.0,3.0,Top Rank,"Garcia, Robert",Male
1182,1183,"Murata, Subaru",JP,122,1.0,4.0,Teiken,"Tanaka, Sendai",Male
1183,1184,"Cazares, Mario",MX,168,1.0,3.0,,,Male
1184,1185,"Guerrero, Luis",VE,115,1.0,3.0,,,Male
1185,1186,"Fernandez, Lucas",AR,115,1.0,4.0,,,Male
1186,1187,"Torres, Francisco Emanuel",AR,160,1.0,3.0,,"Ochenduszka, Jorge",Male
1187,1188,"Barrera, Rober",CO,115,1.0,3.0,,,Male
1188,1189,"Rosa, Jose Angel",AR,140,1.0,3.0,O R Promotions,,Male
1189,1190,"Corzo, Pablo",AR,168,1.0,4.0,O R Promotions,,Male
1190,1191,"Alaniz, Estefania",AR,130,1.0,3.0,,,Female
1191,1192,"Clark, Ronnie",GB,130,1.0,3.0,,,Male
1192,1193,"Sasaki, Jin",JP,140,1.0,4.0,,,Male
1193,1194,"Yuba, Kaiki",JP,140,1.0,3.0,,,Male
1194,1195,"Hiromoto, Ayato",JP,115,1.0,3.0,,,Male
1195,1196,"Nakayama, Yuta",JP,112,1.0,3.0,,,Male
1196,1197,"Aleem, Immanuwel",US,160,1.0,4.0,PBC,"Shields, Ronnie",Male
1197,1198,"Yigit, Anthony",SE,140,1.0,3.0,,"Caicedo, Herman",Male
1198,1199,"Astuvilca, Ricardo",PE,105,1.0,3.0,,,Male
1199,1200,"Barros, Jonathan Victor",AR,130,1.0,3.0,,,Male
1200,1201,"Bustamante, Tamara",AR,112,1.0,3.0,,,Female
1201,1202,"Pucheta, Emiliano",AR,160,1.0,4.0,,,Male
1202,1203,"Vergara, Gerardo",AR,160,1.0,4.0,,,Male
1203,1204,"Sanmartin, Jose",CO,122,1.0,4.0,,,Male
1204,1205,"Bateson, Jack",GB,122,1.0,2.0,,,Male
1205,1206,"Davis, Kyrone",US,168,1.0,3.0,PBC,"Edwards, Stephen",Male
1206,1207,"Lopsan, Artysh",RU,168,1.0,3.0,,,Male
1207,1208,"Lorente, Cristobal",ES,126,1.0,3.0,,"Martin, Rafael",Male
1208,1209,"Timlin, Amy",GB,122,1.0,3.0,,"Farrell, Kieran",Female
1209,1210,"Madueno, Miguel",MX,140,1.0,4.0,Thompson,"Zamora, Danny",Male
1210,1211,"White, Elvina",US,135,1.0,3.0,,"Brown, Eric",Female
1211,1212,"De Jesus, Elon",US,122,1.0,3.0,,,Male
1212,1213,"Dominguez, Karen",AR,108,1.0,3.0,,,Female
1213,1214,"Landaida, Claudia",AR,108,1.0,4.0,,,Female
1214,1215,"Montgomery, Maliek",US,126,1.0,4.0,,"Porter, Kenny",Male
1215,1216,"Piccirillo, Thomas",DE,160,1.0,2.0,Agon,,Male
1216,1217,"Hovhannisyan, Artemak",DE,175,1.0,2.0,,,Male
1217,1218,"Prasovic, Dilan",ME,200,1.0,3.0,,,Male
1218,1219,"Blanc, Leandro",AR,108,1.0,3.0,O R Promotions,,Male
1219,1220,"Garnett, Jayvon",US,126,1.0,2.0,,"Johnson, Kennie",Male
1220,1221,"Carrington, Bruce",US,126,1.0,4.0,Top Rank,"Carrington Sr, Bruce",Male
1221,1222,"Lopez, Cristopher",MX,122,1.0,3.0,Pueblo,"Franvo, Carlos",Male
1222,1223,"Sam, Minh Phat ",VN,105,1.0,3.0,,,Male
1223,1224,"Cobb, Antoine",US,140,1.0,4.0,,,Male
1224,1225,"Soto, Jose",CO,115,1.0,3.0,,,Male
1225,1226,"Batista, Ronal",PA,115,1.0,4.0,,,Male
1226,1227,"Ramos, Hytan",MX,115,1.0,3.0,,,Male
1227,1228,"Zepeda, Hector Manuel",MX,160,1.0,3.0,Paco Presents,,Male
1228,1229,"Valenzuela, German",MX,108,1.0,3.0,,,Male
1229,1230,"Cantos, Eva",ES,122,1.0,3.0,,,Female
1230,1231,"Khoumari, Youssef",GB,130,1.0,3.0,,"Miller, Xavier",Male
1231,1232,"Castaneda, Jorge",US,130,1.0,4.0,Matchroom,"Gomez, Manuel",Male
1232,1233,"Jackson, Carlos",US,122,1.0,3.0,,"Felipe, Alain",Male
1233,1234,"Green, Ian",US,160,1.0,3.0,,"Flemmings, Dwyke",Male
1234,1235,"Melendez, Luis",US,130,1.0,3.0,,"Aponte, Reniel",Male
1235,1236,"Jkitou, Bilel",FR,160,1.0,4.0,,"Tormos, Eric",Male
1236,1237,"Guerrero, Cuahutli",MX,115,1.0,3.0,,,Male
1237,1238,"Levy, Stevi",GB,122,1.0,3.0,,"Faulkner, Paul",Female
1238,1239,"Cawley, Will",GB,118,1.0,4.0,Probellum,"Davison, Ben",Male
1239,1240,"Dixon, Donte",GB,130,1.0,3.0,,"Sampson, Roger",Male
1240,1241,"Bregeon, Dylan",FR,200,1.0,3.0,,,Male
1241,1242,"Benavidez Jr, Jose",US,160,1.0,3.0,PBC,"Benavidez, Jose",Male
1242,1243,"Lawal, Mikael",GB,200,1.0,3.0,Boxxer,,Male
1243,1244,"N'Dam, Hassan",FR,160,1.0,2.0,,"Toeska, Jean Marc",Male
1244,1245,"Volny, Patrice",CA,160,1.0,3.0,Lee Baxter,,Male
1245,1246,"Schicke, Bjoern",DE,160,1.0,3.0,Agon,,Male
1246,1247,"Gualtieri, Vincenzo",DE,160,1.0,2.0,Agon,"Aldama, Franquis",Male
1247,1248,"Ennis-Brown, Akeem",GB,140,1.0,2.0,MTK Global,"Pittman, Jon",Male
1248,1249,"Salomon, Raul",MX,168,1.0,3.0,,"Autrey, Eddie",Male
1249,1250,"Silva, Aaron",MX,168,1.0,4.0,,"Flores, Avath",Male
1250,1251,"Wheeler, Khainell",US,175,1.0,3.0,Kings,,Male
1251,1252,"Gonzalez, Alejandro",MX,126,1.0,3.0,,,Male
1252,1253,"Foster III, William",US,130,1.0,4.0,,"Rosa, Luis",Male
1253,1254,"Arrieta, Carlos ",PR,126,1.0,3.0,,"Garcia, Melvin",Male
1254,1255,"Roldan, Hugo",AR,140,1.0,2.0,Sampson,,Male
1255,1256,"Geffrard, Steve",US,175,1.0,3.0,,"Cunningham, Kevin",Male
1256,1257,"Pedraza, Federico",AR,126,1.0,2.0,Argentina Boxing,,Male
1257,1258,"Carbajal, Keenan",US,130,1.0,3.0,,"Carbajal, Danny",Male
1258,1259,"Kozlovsky, Ivan",RU,140,1.0,2.5,,,Male
1259,1260,"Petrosyan, Zoravor",UA,140,1.0,3.0,,,Male
1260,1261,"Rodriguez, Angel",VE,130,1.0,3.0,,,Male
1261,1262,"Brown, Germaine",GB,168,1.0,3.25,,"Martin, Adam ",Male
1262,1263,"Shaiken, Talgat",KZ,147,0.97,2.0,MTK Global,,Male
1263,1264,"Fiordigiglio, Orlando",IT,154,0.95,2.0,OPI Since 82,"Gordini, Meo",Male
1264,1265,"Sokolowski, Kamil",PL,HWT,0.95,3.0,,,Male
1265,1266,"Makhense, Jabulani",ZA,147,0.94,2.0,DiBella,"Rothmann, Sebastian",Male
1266,1267,"Acosta, George",US,135,0.92,2.0,Thompson,,Male
1267,1268,"Lippe, Trey",US,HWT,0.92,3.0,,"Blacklock, Craig",Male
1268,1269,"Ortiz, Erik ",MX,147,0.91,3.0,,"Quirarte, Romulo",Male
1269,1270,"Wright, Walter",US,154,0.9,2.0,,,Male
1270,1271,"Madison, Colby",US,HWT,0.89,3.0,Kings,,Male
1271,1272,"Castaneda, Kendo",US,147,0.88,4.0,RJJ,"Leija, Jesse James",Male
1272,1273,"Barraza, Jeovanis",CO,147,0.85,3.0,Reyes,,Male
1273,1274,"Holyfield, Evan",US,154,0.85,3.0,Main Events,"Watkins, Maurice",Male
1274,1275,"Padilla, Victor",PR,135,0.84,4.0,DiBella,"Jefferson, Rashiem",Male
1275,1276,"Lopez, Luis",US,147,0.82,3.0,Thompson,"Ramirez, Henry",Male
1276,1277,"Marku, Florian",AL,147,1.62,2.5,Boxxer,"Mitchell, Clifton",Male
1277,1278,"Knapp, Roarke",ZA,154,0.8,4.0,,"Mtolo, Vusi",Male
1278,1279,"Martin, James",US,147,0.79,3.0,Kings,"Martin, Jerry",Male
1279,1280,"Mielnicki Jr, Vito",US,147,0.76,3.0,PBC,"Salaam, Muhammad",Male
1280,1281,"Molina, Eric ",US,HWT,0.76,2.0,,"Payton, James",Male
1281,1282,"Hill, Jeremy",US,135,0.76,3.0,,"Wattigney, Toby",Male
1282,1283,"Ryan, Paul",IE,154,0.75,3.0,MTK Global,"Clifford, Joe",Male
1283,1284,"Dolton, Domonique",US,147,0.73,2.0,PBC,"Steward, SugarHill",Male
1284,1285,"Defreitas, Shiloh",GB,147,0.72,2.5,,,Male
1285,1286,"Crocker, Lewis",GB,147,1.41,2.0,MTK Global,"Ginley, Ray",Male
1286,1287,"Collard, Clay",US,160,0.7,4.0,,"Montoya, Mark",Male
1287,1288,"Cristofori, Nicola",IT,147,0.7,2.0,,,Male
1288,1289,"Smith, Jez",GB,154,0.7,3.0,,"Burnham, Joshua",Male
1289,1290,"Mederos, Harley",US,135,0.68,3.0,,"Roman, Eric",Male
1290,1291,"Esposito, Nicholas",IT,147,0.67,4.0,OPI Since 82,"Esposito, Enzo",Male
1291,1292,"Brubaker, Jack ",AU,147,0.65,3.0,No Limit,"Fenech, Jeff",Male
1292,1293,"Day, Shaquille",GB,147,0.64,3.0,MTK Global,,Male
1293,1294,"Morello, Dario",IT,147,0.61,2.0,OPI Since 82,"Morello, Ercole",Male
1294,1295,"Duffy, Sean ",GB,135,1.21,2.0,MTK Global,"Hawkins, Harry",Male
1295,1296,"Acevedo, Oscar",US,135,0.6,2.0,,,Male
1296,1297,"Jackson, Joseph",US,154,0.6,3.0,Walter Johnson,"Chapman, Robert",Male
1297,1298,"Date, Rohan",IE,147,0.58,3.0,,"Edwards, Johnny",Male
1298,1299,"Mueller vom Berge, Alexander",DE,HWT,0.58,3.0,Agon,"Aldama, Franquis",Male
1299,1300,"Layton, DeMarcus",US,147,0.55,3.0,,,Male
1300,1301,"Ramirez, Diego",AR,154,0.55,3.0,,,Male
1301,1302,"Chaney, Cassius",US,HWT,0.52,2.0,Main Events,"Edwards, Stephen",Male
1302,1303,"Martinez, Rocky",PR,135,0.52,3.0,,,Male
1303,1304,"Gilley, Sam",GB,147,0.52,3.0,MTK Global,,Male
1304,1305,"Acevedo, Richard",US,154,0.5,2.0,,,Male
1305,1306,"Morales Jr, Victor",US,126,1.0,2.5,Golden Boy,"Morales, Victor",Male
1306,1307,"Quillin, Peter",US,168,1.0,2.5,,"Sosa, Aureliano",Male
1307,1308,"Pllana, Genc",US,168,1.0,3.0,Kings,"Brown, Simon",Male
1308,1309,"Calic, Marko",HR,175,1.0,3.5,,"Calic, Dorian",Male
1309,1310,"Agyarko, Caoimhin",GB,160,1.0,2.0,Matchroom,"Smith, Alan",Male
1310,1311,"Davey, George",GB,147,0.49,2.0,Queensberry,"Wharton, Henry",Male
1311,1312,"Sour, Pavel",CZ,HWT,0.46,2.0,,"Kalas, Jan",Male
1312,1313,"Iqbal, Sahir",GB,147,0.46,2.0,MTK Global,"Roye, Johnney",Male
1313,1314,"Allotey, Patrick",GH,154,0.45,3.0,Cabic,"Asare, Ofore",Male
1314,1315,"Velasquez, Thomas",US,135,0.44,3.0,,"Muhammad, Hamza",Male
1315,1316,"Rakhmanov, Sanjarbek",UZ,147,0.43,3.0,Mayweather,"Ben-Tchavtchavadze, Chris",Male
1316,1317,"Darchinyan, Arman ",AM,154,0.4,4.0,,"Roach, Freddie",Male
1317,1318,"Visser, Ruann",ZA,HWT,0.4,2.0,,"Kalakoda, Steve",Male
1318,1319,"Charlton, Rylan",GB,147,0.4,3.0,,"Sictorness, Frank",Male
1319,1320,"Inson, Jayar ",PH,147,0.37,3.0,MP,"Neri, Nonoy",Male
1320,1321,"Ramos, Mario",US,135,0.36,3.0,,"Abdullah, Basheer",Male
1321,1322,"Ehwarieme, Onoriode",NG,HWT,0.7,3.0,,"Caicedo, Herman",Male
1322,1323,"Hudaynazarov, Ravshan",UZ,154,0.35,3.0,,,Male
1323,1324,"Pavko, Evgeny",RU,147,0.34,2.0,,"Oleg, Monov",Male
1324,1325,"Sands, Amron",US,HWT,0.34,3.0,DiBella,,Male
1325,1326,"Brewer, Brandon",CA,154,0.65,2.0,Three Lions,"McLeod, Aubrey",Male
1326,1327,"Torrez, Oscar",US,HWT,0.64,2.5,Thompson,"Ramirez, Henry",Male
1327,1328,"Pennington, Courtney",US,154,0.3,2.0,,,Male
1328,1329,"Veisbergs, Elvis",LV,147,0.3,3.75,LNK,,Male
1329,1330,"Fernandez, Demian Daniel",AR,147,0.28,3.0,,"Phillips, Rick",Male
1330,1331,"Flores , Alexander",US,HWT,0.28,3.0,RJJ,,Male
1331,1332,"Piriyapinyo, Chonlatarn",TH,135,0.28,3.0,,,Male
1332,1333,"Apresyan, Eryk",PL,147,0.26,3.0,MTK Global,"Ayrapetyan, Albert",Male
1333,1334,"Kelly, Ryan",GB,154,0.25,3.0,,"Counihan, Paul",Male
1334,1335,"Flaz, Nicklaus",PR,147,0.23,4.0,PR Best,,Male
1335,1336,"Shala, Granit",DE,HWT,0.22,2.0,Agon,,Male
